dataset_type,n,algorithm,avg_time_us,avg_char_comparisons,runs,sorted_ok
almost_sorted,1700,standard_quicksort,222.716,28704.000,5,1
almost_sorted,1700,standard_mergesort,162.011,21954.000,5,1
almost_sorted,1700,string_quicksort,138.873,41034.000,5,1
almost_sorted,1700,string_mergesort_lcp,537.700,58689.000,5,1
almost_sorted,1700,msd_radix_sort,149.519,4071.000,5,1
almost_sorted,1700,msd_radix_quick_sort,108.399,18203.000,5,1
almost_sorted,1800,standard_quicksort,294.648,31465.000,5,1
almost_sorted,1800,standard_mergesort,176.577,23079.000,5,1
almost_sorted,1800,string_quicksort,146.675,46332.000,5,1
almost_sorted,1800,string_mergesort_lcp,730.729,61608.000,5,1
almost_sorted,1800,msd_radix_sort,145.705,4317.000,5,1
almost_sorted,1800,msd_radix_quick_sort,90.766,19338.000,5,1
almost_sorted,1900,standard_quicksort,265.044,32139.000,5,1
almost_sorted,1900,standard_mergesort,175.854,24602.000,5,1
almost_sorted,1900,string_quicksort,140.741,47264.000,5,1
almost_sorted,1900,string_mergesort_lcp,518.751,65793.000,5,1
almost_sorted,1900,msd_radix_sort,152.471,4558.000,5,1
almost_sorted,1900,msd_radix_quick_sort,130.611,20538.000,5,1
almost_sorted,2000,standard_quicksort,293.643,37606.000,5,1
almost_sorted,2000,standard_mergesort,208.509,25506.000,5,1
almost_sorted,2000,string_quicksort,163.433,49659.000,5,1
almost_sorted,2000,string_mergesort_lcp,565.887,68153.000,5,1
almost_sorted,2000,msd_radix_sort,155.883,4798.000,5,1
almost_sorted,2000,msd_radix_quick_sort,103.731,21683.000,5,1
almost_sorted,2100,standard_quicksort,286.064,34189.000,5,1
almost_sorted,2100,standard_mergesort,244.773,27189.000,5,1
almost_sorted,2100,string_quicksort,204.920,51455.000,5,1
almost_sorted,2100,string_mergesort_lcp,730.836,72744.000,5,1
almost_sorted,2100,msd_radix_sort,195.241,5041.000,5,1
almost_sorted,2100,msd_radix_quick_sort,108.646,22981.000,5,1
almost_sorted,2200,standard_quicksort,288.554,38103.000,5,1
almost_sorted,2200,standard_mergesort,204.092,29192.000,5,1
almost_sorted,2200,string_quicksort,169.710,54627.000,5,1
almost_sorted,2200,string_mergesort_lcp,810.659,77704.000,5,1
almost_sorted,2200,msd_radix_sort,236.189,5302.000,5,1
almost_sorted,2200,msd_radix_quick_sort,204.012,24277.000,5,1
almost_sorted,2300,standard_quicksort,407.940,38639.000,5,1
almost_sorted,2300,standard_mergesort,256.059,30941.000,5,1
almost_sorted,2300,string_quicksort,180.303,56782.000,5,1
almost_sorted,2300,string_mergesort_lcp,652.759,82472.000,5,1
almost_sorted,2300,msd_radix_sort,171.605,5561.000,5,1
almost_sorted,2300,msd_radix_quick_sort,113.603,25514.000,5,1
almost_sorted,2400,standard_quicksort,296.160,41317.000,5,1
almost_sorted,2400,standard_mergesort,282.112,32720.000,5,1
almost_sorted,2400,string_quicksort,163.612,59431.000,5,1
almost_sorted,2400,string_mergesort_lcp,665.116,87148.000,5,1
almost_sorted,2400,msd_radix_sort,169.750,5807.000,5,1
almost_sorted,2400,msd_radix_quick_sort,117.320,26795.000,5,1
almost_sorted,2500,standard_quicksort,330.942,42383.000,5,1
almost_sorted,2500,standard_mergesort,277.399,33992.000,5,1
almost_sorted,2500,string_quicksort,230.641,62091.000,5,1
almost_sorted,2500,string_mergesort_lcp,1162.439,90524.000,5,1
almost_sorted,2500,msd_radix_sort,234.167,6052.000,5,1
almost_sorted,2500,msd_radix_quick_sort,146.430,28031.000,5,1
almost_sorted,2600,standard_quicksort,357.063,41705.000,5,1
almost_sorted,2600,standard_mergesort,265.706,35563.000,5,1
almost_sorted,2600,string_quicksort,217.567,64624.000,5,1
almost_sorted,2600,string_mergesort_lcp,916.298,94701.000,5,1
almost_sorted,2600,msd_radix_sort,235.944,6291.000,5,1
almost_sorted,2600,msd_radix_quick_sort,151.948,29218.000,5,1
almost_sorted,2700,standard_quicksort,368.491,44323.000,5,1
almost_sorted,2700,standard_mergesort,263.664,37088.000,5,1
almost_sorted,2700,string_quicksort,218.337,68641.000,5,1
almost_sorted,2700,string_mergesort_lcp,826.495,98950.000,5,1
almost_sorted,2700,msd_radix_sort,220.715,6541.000,5,1
almost_sorted,2700,msd_radix_quick_sort,128.892,30374.000,5,1
almost_sorted,2800,standard_quicksort,329.911,43031.000,5,1
almost_sorted,2800,standard_mergesort,247.092,38722.000,5,1
almost_sorted,2800,string_quicksort,191.392,71105.000,5,1
almost_sorted,2800,string_mergesort_lcp,766.382,103238.000,5,1
almost_sorted,2800,msd_radix_sort,210.992,6783.000,5,1
almost_sorted,2800,msd_radix_quick_sort,150.143,31550.000,5,1
almost_sorted,2900,standard_quicksort,321.094,43606.000,5,1
almost_sorted,2900,standard_mergesort,286.526,40199.000,5,1
almost_sorted,2900,string_quicksort,256.508,73690.000,5,1
almost_sorted,2900,string_mergesort_lcp,884.772,106857.000,5,1
almost_sorted,2900,msd_radix_sort,222.906,7038.000,5,1
almost_sorted,2900,msd_radix_quick_sort,198.610,32832.000,5,1
almost_sorted,3000,standard_quicksort,397.438,47307.000,5,1
almost_sorted,3000,standard_mergesort,311.071,41373.000,5,1
almost_sorted,3000,string_quicksort,215.372,76572.000,5,1
almost_sorted,3000,string_mergesort_lcp,804.295,109873.000,5,1
almost_sorted,3000,msd_radix_sort,223.674,7279.000,5,1
almost_sorted,3000,msd_radix_quick_sort,152.471,34067.000,5,1
