dataset_type,n,algorithm,avg_time_us,avg_char_comparisons,runs,sorted_ok
random,1800,standard_mergesort,298.570,23994.000,5,1
random,1800,string_quicksort,212.358,49634.000,5,1
random,1800,string_mergesort_lcp,642.486,61657.000,5,1
random,1800,msd_radix_sort,119.712,4068.000,5,1
random,1800,msd_radix_quick_sort,108.458,20759.000,5,1
random,1900,standard_quicksort,434.787,30674.000,5,1
random,1900,standard_mergesort,450.743,25629.000,5,1
random,1900,string_quicksort,223.141,54239.000,5,1
random,1900,string_mergesort_lcp,681.806,65794.000,5,1
random,1900,msd_radix_sort,124.062,4337.000,5,1
random,1900,msd_radix_quick_sort,119.734,21887.000,5,1
random,2000,standard_quicksort,364.177,32367.000,5,1
random,2000,standard_mergesort,332.940,27325.000,5,1
random,2000,string_quicksort,253.840,57817.000,5,1
random,2000,string_mergesort_lcp,792.327,70110.000,5,1
random,2000,msd_radix_sort,158.764,4584.000,5,1
random,2000,msd_radix_quick_sort,156.051,23370.000,5,1
random,2100,standard_quicksort,440.354,34529.000,5,1
random,2100,standard_mergesort,401.213,29018.000,5,1
random,2100,string_quicksort,283.185,61105.000,5,1
random,2100,string_mergesort_lcp,934.376,74423.000,5,1
random,2100,msd_radix_sort,179.094,4847.000,5,1
random,2100,msd_radix_quick_sort,162.500,25462.000,5,1
random,2200,standard_quicksort,470.147,37316.000,5,1
random,2200,standard_mergesort,419.503,30676.000,5,1
random,2200,string_quicksort,307.319,63300.000,5,1
random,2200,string_mergesort_lcp,956.896,78605.000,5,1
random,2200,msd_radix_sort,172.314,5115.000,5,1
random,2200,msd_radix_quick_sort,183.345,27150.000,5,1
random,2300,standard_quicksort,476.391,40510.000,5,1
random,2300,standard_mergesort,454.045,32407.000,5,1
random,2300,string_quicksort,390.449,74476.000,5,1
random,2300,string_mergesort_lcp,1058.816,82990.000,5,1
random,2300,msd_radix_sort,192.056,5377.000,5,1
random,2300,msd_radix_quick_sort,196.430,29615.000,5,1
random,2400,standard_quicksort,519.893,41746.000,5,1
random,2400,standard_mergesort,491.018,34072.000,5,1
random,2400,string_quicksort,358.605,81348.000,5,1
random,2400,string_mergesort_lcp,1074.140,87238.000,5,1
random,2400,msd_radix_sort,212.879,5640.000,5,1
random,2400,msd_radix_quick_sort,188.081,30855.000,5,1
random,2500,standard_quicksort,479.892,46051.000,5,1
random,2500,standard_mergesort,410.585,35880.000,5,1
random,2500,string_quicksort,305.715,71957.000,5,1
random,2500,string_mergesort_lcp,890.337,91809.000,5,1
random,2500,msd_radix_sort,205.593,5909.000,5,1
random,2500,msd_radix_quick_sort,141.436,32214.000,5,1
random,2600,standard_quicksort,441.638,46767.000,5,1
random,2600,standard_mergesort,446.925,37560.000,5,1
random,2600,string_quicksort,359.100,78848.000,5,1
random,2600,string_mergesort_lcp,1123.386,96076.000,5,1
random,2600,msd_radix_sort,212.160,6167.000,5,1
random,2600,msd_radix_quick_sort,258.767,34366.000,5,1
random,2700,standard_quicksort,570.667,47016.000,5,1
random,2700,standard_mergesort,409.631,39375.000,5,1
random,2700,string_quicksort,325.650,84457.000,5,1
random,2700,string_mergesort_lcp,1122.554,100662.000,5,1
random,2700,msd_radix_sort,249.735,6452.000,5,1
random,2700,msd_radix_quick_sort,202.736,35049.000,5,1
random,2800,standard_quicksort,543.895,51153.000,5,1
random,2800,standard_mergesort,499.238,41124.000,5,1
random,2800,string_quicksort,317.027,87723.000,5,1
random,2800,string_mergesort_lcp,1042.018,105092.000,5,1
random,2800,msd_radix_sort,247.867,6729.000,5,1
random,2800,msd_radix_quick_sort,288.497,37038.000,5,1
random,2900,standard_quicksort,645.976,52343.000,5,1
random,2900,standard_mergesort,516.262,42879.000,5,1
random,2900,string_quicksort,353.630,87165.000,5,1
random,2900,string_mergesort_lcp,1121.503,109563.000,5,1
random,2900,msd_radix_sort,201.311,7005.000,5,1
random,2900,msd_radix_quick_sort,199.904,39115.000,5,1
random,3000,standard_quicksort,508.752,54834.000,5,1
random,3000,standard_mergesort,538.122,44621.000,5,1
random,3000,string_quicksort,475.816,91457.000,5,1
random,3000,string_mergesort_lcp,1392.529,113907.000,5,1
random,3000,msd_radix_sort,347.802,7279.000,5,1
random,3000,msd_radix_quick_sort,190.343,40930.000,5,1
reverse_sorted,100,standard_quicksort,7.568,931.000,5,1
reverse_sorted,100,standard_mergesort,4.419,609.000,5,1
reverse_sorted,100,string_quicksort,3.813,1539.000,5,1
reverse_sorted,100,string_mergesort_lcp,10.985,1448.000,5,1
reverse_sorted,100,msd_radix_sort,7.234,243.000,5,1
