type,n,threshold,mean_ms,median_ms,min_ms,max_ms,runs
random,100000,15,14.5412,14.2808,14.1888,15.2155,7
reverse,100000,15,8.02869,8.1799,7.4309,8.4844,7
almost,100000,15,6.62677,6.5653,6.3798,7.0945,7
random,100000,20,14.7361,14.6822,14.1015,15.5446,7
reverse,100000,20,8.03201,7.9523,7.6804,8.502,7
almost,100000,20,6.76371,6.6185,6.2877,7.6227,7
random,100000,30,14.647,14.6725,14.3877,14.8627,7
reverse,100000,30,9.74137,9.6163,9.2075,10.4262,7
almost,100000,30,6.30787,6.2456,5.9916,6.6483,7
random,100000,50,15.5709,15.7799,14.3375,17.2588,7
reverse,100000,50,12.3057,12.1159,11.944,13.0738,7
almost,100000,50,5.62027,5.6363,5.5166,5.7094,7
